indicator,loans_trillion,deposits_trillion,loan_yoy,loan_to_deposit_ratio,npl_ratio,nim,provision_coverage,capital_adequacy,liquidity_ratio,risk_pressure_index_z,npl_ratio_qoq_change_pp,loan_yoy_change_pp,loan_to_deposit_ratio_qoq_change_pp,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,risk_pressure_index_z_change
loans_trillion,1.0,0.998,-0.8379,0.9286,-0.9605,-0.9732,0.9265,0.849,0.9217,-0.9741,-0.0441,-0.1339,0.0298,-0.1439,0.091,-0.0812
deposits_trillion,0.998,1.0,-0.8361,0.9043,-0.9643,-0.9655,0.9268,0.8393,0.9106,-0.9649,-0.0625,-0.1268,-0.0034,-0.154,0.0823,-0.0329
loan_yoy,-0.8379,-0.8361,1.0,-0.7418,0.8134,0.8564,-0.6494,-0.8565,-0.9417,0.9127,-0.3113,0.3421,0.1035,0.0344,0.0232,0.0777
loan_to_deposit_ratio,0.9286,0.9043,-0.7418,1.0,-0.8653,-0.9226,0.8707,0.8238,0.8818,-0.9298,0.077,-0.1396,0.2417,-0.0822,0.1465,-0.3118
npl_ratio,-0.9605,-0.9643,0.8134,-0.8653,1.0,0.8913,-0.9756,-0.8601,-0.8584,0.9627,0.1764,0.0671,-0.0118,0.1294,-0.0885,0.0159
nim,-0.9732,-0.9655,0.8564,-0.9226,0.8913,1.0,-0.8325,-0.8222,-0.9513,0.9624,-0.0412,0.168,-0.0386,0.217,-0.0219,0.1033
provision_coverage,0.9265,0.9268,-0.6494,0.8707,-0.9756,-0.8325,1.0,0.8105,0.7868,-0.8695,-0.098,0.0212,0.0824,-0.097,0.0821,-0.0337
capital_adequacy,0.849,0.8393,-0.8565,0.8238,-0.8601,-0.8222,0.8105,1.0,0.8882,-0.8981,-0.1769,-0.1678,-0.0704,-0.0924,0.3104,-0.2007
liquidity_ratio,0.9217,0.9106,-0.9417,0.8818,-0.8584,-0.9513,0.7868,0.8882,1.0,-0.9763,-0.0231,-0.1436,-0.0509,-0.0601,0.08,-0.0766
risk_pressure_index_z,-0.9741,-0.9649,0.9127,-0.9298,0.9627,0.9624,-0.8695,-0.8981,-0.9763,1.0,-0.4086,0.1747,-0.0459,0.1598,0.0075,0.1375
npl_ratio_qoq_change_pp,-0.0441,-0.0625,-0.3113,0.077,0.1764,-0.0412,-0.098,-0.1769,-0.0231,-0.4086,1.0,-0.2474,0.1942,-0.3323,-0.2912,0.1021
loan_yoy_change_pp,-0.1339,-0.1268,0.3421,-0.1396,0.0671,0.168,0.0212,-0.1678,-0.1436,0.1747,-0.2474,1.0,0.1975,-0.1309,-0.1557,0.3117
loan_to_deposit_ratio_qoq_change_pp,0.0298,-0.0034,0.1035,0.2417,-0.0118,-0.0386,0.0824,-0.0704,-0.0509,-0.0459,0.1942,0.1975,1.0,-0.1989,0.0048,-0.6954
nim_qoq_change_pp,-0.1439,-0.154,0.0344,-0.0822,0.1294,0.217,-0.097,-0.0924,-0.0601,0.1598,-0.3323,-0.1309,-0.1989,1.0,0.3221,-0.0651
capital_adequacy_qoq_change_pp,0.091,0.0823,0.0232,0.1465,-0.0885,-0.0219,0.0821,0.3104,0.08,0.0075,-0.2912,-0.1557,0.0048,0.3221,1.0,-0.5762
risk_pressure_index_z_change,-0.0812,-0.0329,0.0777,-0.3118,0.0159,0.1033,-0.0337,-0.2007,-0.0766,0.1375,0.1021,0.3117,-0.6954,-0.0651,-0.5762,1.0
